,name,address,tel
0,See&See,인천 남동구 구월동 1130,032-223-7300
1,가락DT점,서울 송파구 가락동 193-7,02-6378-8200
2,가산디지털,서울 금천구 가산동 50-3,02-6332-6500
3,가산비지니스센터점,서울 금천구 가산동 371-6,02-6341-8300
4,가야,부산 부산진구 가야동 50-4,051-935-6900
5,강남 2호점,서울 강남구 역삼동 822-2,02-6205-6400
6,강남구청,서울 강남구 논현동 242-29,02-6204-6400
7,강남삼성DT,서울 강남구 삼성동 113-7,02-6743-2600
8,강릉,강원 강릉시 임당동 86,033-920-3100
9,강릉송정DT,강원특별자치도 강릉시 송정동 546-4,033-920-9200
10,강선,경기 고양시 일산서구 주엽동 51-1,031-811-5600
11,거제,경남 거제시 장평동 1211,055-950-2300
12,경기광주DT,경기 광주시 쌍령동 155-18,031-699-2100
13,경산정평DT,경북 경산시 정평동 147-6,053-217-9200
14,경성대,부산 남구 대연동 72-23,051-915-5600
15,경주보문DT,경북 경주시 신평동 436,054-624-4700
16,경주용강 DT,경북 경주시 용강동 875,054-624-5800
17,경주황남 DT,경북 경주시 노서동 169-4,054-624-4900
18,경희대국제캠퍼스,경기 수원시 영통구 영통동 1024-9,031-308-6000
19,고양DT,경기 고양시 덕양구 벽제동 262-1,031-812-6300
20,고양덕이DT,경기 고양시 일산서구 덕이동 304-3,031-817-6200
21,고양삼송DT,경기 고양시 덕양구 동산동 74-1,02-6221-3500
22,고양원당DT점,경기 고양시 덕양구 주교동 610-4,031-815-4000
23,고양풍동DT,경기 고양시 일산동구 풍동 148-3,031-813-4000
24,고척DT,서울 구로구 고척동 73-20,02-6734-5800
25,공덕점,서울 마포구 도화동 559,02-6743-6300
26,과천이마트,경기 과천시 별양동 1-19,02-6249-3800
27,과학기술대점,서울 노원구 공릉동 435-2,02-6011-1300
28,광명DT,경기 광명시 광명동 754-4,02-6264-2000
29,광명역점,경기 광명시 광명동 158-792,02-6279-5700
30,광양DT,전남 광양시 중동 1309-3,061-913-3400
31,광주동림DT,광주 북구 동림동 900-41,062-462-3300
32,광주산정DT점,광주 광산구 산정동 143-16,062-444-2700
33,광주쌍촌 DT,광주 서구 쌍촌동 964-9,062-451-1300
34,광주운암DT,광주 북구 운암동 1078-2,062-462-3100
35,광주월산DT,광주 남구 월산동 951-3,062-410-9700
36,광주진월DT,광주 남구 진월동 291-7,070-7209-0551
37,광주첨단DT점,광주 북구 용두동 311-15,062-400-2900
38,구로디지털,서울 구로구 구로동 197-21,02-6378-6700
39,구리수택점,경기 구리시 수택동 526-4,031-512-6000
40,구리인창 DT,경기 구리시 인창동 410-5,070-7209-1618
41,구미도량 DT,경북 구미시 도량동 524-3,054-602-6200
42,구미옥계DT점,경북 구미시 옥계동 362-1,054-602-2300
43,구미인동DT,경북 구미시 인의동 1004-1,054-602-6300
44,구미형곡점,경북 구미시 형곡동 146-9,070-7017-0577
45,구산,서울 은평구 구산동 1-14,02-6215-6800
46,구월 아시아드 DT점,인천 남동구 구월동 1185,032-226-6400
47,구의역,서울 광진구 자양동 216-11,02-6212-2700
48,군산나운DT,전북 군산시 나운동 844-6,063-911-9500
49,군산조촌DT,전북특별자치도 군산시 조촌동 471-1,063-910-2200
50,군포당동SK DT,경기 군포시 당동 871-2,031-341-4000
51,군포산본DT점,경기 군포시 산본동 51-1,031-342-6500
52,굽은다리역DT,서울 강동구 천호동 31-10,070-7209-0553
53,김천평화DT점,경북 김천시 평화동 2-2,054-910-6700
54,김포감정DT점,경기 김포시 감정동 504-6,031-992-5300
55,김포고촌SK DT점,경기 김포시 고촌읍 신곡리 532-25,031-991-8700
56,김포구래DT,경기 김포시 구래동 6871-25,031-990-1900
57,김포장기 DT,경기 김포시 장기동 1911-2,031-991-4000
58,김해삼계 DT,경남 김해시 삼계동 1460-5,055-902-2700
59,김해삼정 DT,경남 김해시 삼정동 616-3,055-904-3700
60,김해외동DT점,경남 김해시 외동 238-3,055-902-2800
61,김해장유 DT,경남 김해시 대청동 316-1,055-903-2800
62,노량진,서울 동작구 노량진동 100-1,02-6391-3500
63,달동,울산 남구 달동 707-1,052-955-7100
64,달맞이 DT,부산 해운대구 중동 1777-5,051-916-5100
65,당감 DT,부산 부산진구 당감동 282-30,051-935-6500
66,대구 다사DT,대구 달성군 다사읍 죽곡리 5-23,053-267-5100
67,대구 모다 DT점,대구 달서구 호산동 720-2,053-267-3900
68,대구 수성DT,대구 수성구 수성동4가 1020-2,053-213-3200
69,대구 이곡DT,대구 달서구 이곡동 1244-3,053-267-4600
70,대구 침산DT,대구 북구 침산동 244-1,053-215-8900
71,대구교대DT,대구 남구 대명동 1793-5,070-7209-0560
72,대구동호DT,대구 동구 신서동 718,053-213-6300
73,대구두류DT점,대구 달서구 두류동 495-47,053-267-2600
74,대구만촌DT점,대구 수성구 만촌동 853-1,053-213-3100
75,대구복현DT점,대구 북구 복현동 364-5,053-216-3900
76,대구본리DT점,대구 달서구 감삼동 346,053-261-5400
77,대구상인DT,대구 달서구 상인동 54-2,053-267-4100
78,대구시지DT점,대구 수성구 매호동 1087-1,053-214-2900
79,대구진천DT점,대구 달서구 진천동 608-6,053-261-5800
80,대구태전 DT,대구 북구 태전동 409-12,053-213-2900
81,대구평리DT점,대구 서구 평리동 1407-1,070-7209-1666
82,대구황금DT점,대구 수성구 황금동 567-11,053-219-7200
83,대구희망DT점,대구 수성구 중동 70-10,053-217-9300
84,대전 센트럴 DT점,대전 중구 대흥동 522-1,042-342-4200
85,대전 유성 DT점,대전 유성구 봉명동 446-5,042-361-3200
86,대전가수원DT,대전 서구 가수원동 655-4,042-369-1300
87,대전가장DT,대전 서구 가장동 54-1,042-369-1600
88,대전부사DT,대전 중구 부사동 87-14,042-335-5800
89,대전신탄진DT점,대전 대덕구 상서동 834-4,042-331-2100
90,대전유천DT점,대전 중구 유천동 327-4,042-331-2900
91,대전카이스트DT점,대전 유성구 가정동 2-23,042-361-3600
92,대전터미널점,대전 동구 용전동 63-3,042-331-2800
93,대전한남대DT점,대전 대덕구 중리동 230-15,042-331-2700
94,대학로,서울 종로구 동숭동 1-34,02-6212-2900
95,덕소,경기 남양주시 와부읍 덕소리 474-5,031-515-1900
96,동두천지행DT,경기 동두천시 지행동 340-1,031-8083-8900
97,동묘,서울 종로구 창신동 290,02-6743-7500
98,동성로 2,대구 중구 사일동 77,053-214-5600
99,동수원GS DT,경기 수원시 영통구 이의동 422-5,031-890-4000
100,동아대,부산 사하구 하단동 492-1,051-988-5300
101,동인천점,인천 중구 인현동 27-3,032-218-5400
102,동탄2 DT,경기 화성시 영천동 871-4,031-8043-5900
103,동탄SK점,경기 화성시 능동 1051-1,031-8058-1300
104,동판교,경기 성남시 분당구 삼평동 741,031-606-4000
105,동해DT,강원 동해시 천곡동 1066,033-930-2000
106,등촌 DT,서울 강서구 등촌동 630,02-6091-6800
107,마리오 아울렛,서울 금천구 가산동 60-22,02-6166-6600
108,마산석전DT,경남 창원시 마산회원구 석전동 261-14,055-604-2800
109,마산신포DT,경남 창원시 마산합포구 신포동1가 25-1,055-602-7500
110,마석DT,경기 남양주시 화도읍 마석우리 481-2,031-510-8200
111,만수DT점,인천 남동구 만수동 904-4,032-228-5800
112,만촌이마트,대구 수성구 만촌동 1356-5,053-213-8600
113,망원점,서울 마포구 망원동 377-19,02-6391-8500
114,명동,서울 중구 명동1가 48-2,02-6215-8200
115,명동 2호점,서울 중구 회현동3가 1-5,070-7017-1449
116,명지대점,서울 서대문구 남가좌동 324-3,02-6356-5600
117,목동,서울 양천구 신정동 899-6,02-6212-2300
118,목원대점,대전 유성구 용계동 664-8,042-361-3800
119,목포남악DT점,전남 무안군 삼향읍 남악리 2148,061-980-3500
120,목포석현DT,전남 목포시 석현동 816-85,061-981-7100
121,목포하당DT점,전남 목포시 상동 1126-2,061-982-3500
122,문학DT점,인천 미추홀구 문학동 381-5,032-226-5700
123,미아DT,서울 강북구 미아동 682-12,02-6221-6400
124,미아역,서울 강북구 미아동 197-5,02-6221-6300
125,밀양 DT,경남 밀양시 삼문동 397,055-927-5000
126,방배,서울 서초구 방배동 909-9,02-6391-3700
127,방촌 DT,대구 동구 방촌동 883-9,053-214-6200
128,방학역DT점,서울 도봉구 도봉동 620-25,070-7666-3485
129,범일 SK DT,부산 동구 범일동 828-8,051-965-4500
130,병점DT점,경기 화성시 병점동 372-1,031-304-2600
131,보라매,서울 영등포구 신길동 505,02-6166-5000
132,부곡,부산 금정구 부곡동 63-11,051-915-3900
133,부산 구남DT점,부산 북구 구포동 920-16,051-912-6800
134,부산 남천DT점,부산 수영구 남천동 30-4,051-912-4700
135,부산교대 DT점,부산 연제구 거제동 1-1,051-925-4500
136,부산구서DT,부산 금정구 구서동 163-2,051-915-5400
137,부산기장 DT,부산 기장군 기장읍 청강리 112-1,051-916-5400
138,부산다대DT점,부산 사하구 다대동 1160-12,051-961-6000
139,부산대 2,부산 금정구 장전동 302-9,051-936-8700
140,부산덕천 DT,부산 북구 덕천동 554-1,051-916-4500
141,부산동명대DT점,부산 남구 용당동 524,051-911-4300
142,부산명지DT점,부산 강서구 명지동 3420-7,051-961-5600
143,부산범전DT,부산 부산진구 범전동 383-25,051-912-5000
144,부산사직DT점,부산 동래구 사직동 105-10,051-911-6200
145,부산송정DT,부산 해운대구 송정동 135-2,051-959-4500
146,부산수영SK DT점,부산 수영구 수영동 450-9,051-912-4800
147,부산엄궁 DT,부산 사상구 엄궁동 367-3,051-961-5900
148,부산영도DT,부산 영도구 봉래동3가 82-2,051-969-4500
149,부산온천 SK DT,부산 동래구 온천동 1431-4,051-912-4500
150,부산정관DT점,부산 기장군 정관읍 매학리 720-3,051-911-2700
151,부산초량 DT,부산 동구 초량동 1198-7,051-961-5700
152,부산하단DT,부산 사하구 하단동 619-20,051-961-6300
153,부산황령DT점,부산 남구 대연동 201,051-911-4700
154,부천북부역,경기 부천시 심곡동 175-6,032-219-9000
155,부천심곡DT,경기 부천시 심곡본동 559,032-271-1700
156,부천역곡역DT,경기 부천시 괴안동 112-23,032-214-9000
157,부천원종DT,경기 부천시 원종동 376-6,032-217-9000
158,부평SK DT,인천 부평구 부평동 440-2,032-294-9500
159,부평역,인천 부평구 부평동 738-21,032-262-3700
160,부평중앙,인천 부평구 부평동 212-65,032-266-3200
161,북수원DT점,경기 수원시 장안구 송죽동 451-1,031-8025-7300
162,분당효자점,경기 성남시 분당구 서현동 305-2,031-602-2900
163,사직점,부산 동래구 사직동 92-7,051-911-3500
164,사천DT,경남 사천시 사천읍 수석리 320-11,055-957-2500
165,삼선,서울 성북구 동소문동1가 32-3,02-6229-3500
166,삼성역,서울 강남구 삼성동 158-15,02-6203-4600
167,상계DT,서울 노원구 상계동 1022,02-6221-6500
168,상무대,광주 서구 치평동 1182,062-453-8700
169,상일동점,서울 강동구 상일동 502,02-6471-7100
170,서면 3,부산 부산진구 부전동 172-6,051-915-6000
171,서산DT,충남 서산시 예천동 524-26,041-920-2500
172,서울 상암 DMC,서울 마포구 상암동 1602,02-6743-2700
173,서울 태릉입구역DT,서울 노원구 공릉동 596-10,02-6225-0700
174,서울둔촌DT,서울 강동구 둔촌동 517-2,02-6140-5000
175,서울번동DT점,서울 강북구 번동 106,02-6224-2100
176,서울시청,서울 중구 을지로1가 32,02-6215-8100
177,서울시흥DT,서울 금천구 시흥동 903-4,02-6269-6200
178,서울역,서울 용산구 동자동 43-205,02-6743-1400
179,서초GS점,서울 서초구 서초동 1536-1,02-6242-2060
180,서초뱅뱅,서울 서초구 서초동 1338-20,02-6227-4500
181,서판교 DT,경기 성남시 분당구 운중동 1017,031-602-3500
182,석촌역,서울 송파구 송파동 84,02-6415-6200
183,선릉,서울 강남구 역삼동 707-27,02-6207-9100
184,성남신흥DT점,경기 성남시 수정구 신흥동 181,031-602-3800
185,세이브존 광명,경기 광명시 철산동 367,02-6279-5400
186,세이브존 노원,서울 노원구 하계동 284,02-6315-2700
187,세이브존 대전점,대전 서구 둔산동 1809,042-384-3700
188,속초DT,강원 속초시 조양동 636-53,033-947-8100
189,송도GS DT점,인천 연수구 송도동 8-18,032-223-3400
190,송정역,서울 강서구 공항동 45-38,02-6391-8700
191,송탄,경기 평택시 신장동 302-1,031-8094-4000
192,송파잠실DT,서울 송파구 잠실동 305-15,02-6204-6700
193,수내역,경기 성남시 분당구 수내동 18-1,031-629-8000
194,수원 망포DT,경기 수원시 영통구 망포동 21-1,031-308-4000
195,수원 성균관대,경기 수원시 장안구 율전동 291-6,031-890-6000
196,수원 아주대점,경기 수원시 영통구 원천동 18-1,031-309-4000
197,수원GS DT,경기 수원시 권선구 권선동 1029,031-306-4000
198,수원세류DT,경기 수원시 권선구 세류동 1155-8,031-302-4000
199,수원인계DT,경기 수원시 팔달구 인계동 363-3,031-8001-6000
200,수원정자DT,경기 수원시 장안구 정자동 76-18,031-8001-9000
201,수원탑동 DT,경기 수원시 권선구 탑동 452-1,031-893-4500
202,수원화성DT점,경기 수원시 팔달구 우만동 490-4,031-891-6700
203,수유,서울 강북구 번동 418-17,02-6231-2600
204,순천덕암DT점,전남 순천시 덕암동 146-32,061-902-9500
205,순천조례DT,전남 순천시 조례동 382-1,061-901-9200
206,숭실대,서울 동작구 상도동 505-5,02-6166-6500
207,시청 DT,부산 연제구 연산동 1364-2,051-916-5200
208,시화점,경기 시흥시 정왕동 1734-2,031-506-8400
209,시흥은행,경기 시흥시 은행동 532-1,031-503-9700
210,신내,서울 중랑구 신내동 666,02-6212-3100
211,신도림 테크노점,서울 구로구 구로동 3-25,02-6743-4800
212,신림,서울 관악구 신림동 1641-22,02-6335-4300
213,신마산,경남 창원시 마산합포구 해운동 5-119,055-601-6900
214,신사역,서울 강남구 신사동 514-15,02-6203-6400
215,신월DT,서울 양천구 신월동 199-3,02-6461-6400
216,신월남부 DT점,서울 양천구 신월동 525-1,02-6091-1400
217,신천,서울 송파구 잠실동 181-9,02-6378-7900
218,신흥DT점,인천 중구 신흥동3가 7-227,032-226-6300
219,아산탕정 DT,충남 아산시 탕정면 매곡리 633-7,041-910-5900
220,안동DT,경북 안동시 옥동 985-10,054-900-5200
221,안산고잔 DT,경기 안산시 단원구 고잔동 705-5,031-503-2300
222,안성공도DT,경기 안성시 공도읍 마정리 149-17,031-8029-7600
223,안암,서울 성북구 안암동5가 102-33,02-6229-3400
224,안양,경기 안양시 만안구 안양동 674-208,031-346-7900
225,안양비산DT,경기 안양시 동안구 비산동 576-13,031-341-5300
226,압구정CGV,서울 강남구 신사동 603-2,02-6207-2700
227,야탑 뉴코아,경기 성남시 분당구 야탑동 357-1,031-629-9000
228,양산DT점,경남 양산시 동면 석산리 1421-9,055-913-2500
229,양산덕계DT점,경남 양산시 평산동 16-6,055-912-4200
230,양산물금DT점,경남 양산시 물금읍 범어리 772-12,055-910-1100
231,양산북정 DT점,경남 양산시 신기동 545-7,055-912-3400
232,양재,서울 서초구 양재동 24,02-6242-2100
233,양재 SK DT,서울 서초구 양재동 81,02-6447-6500
234,양주덕계DT,경기 양주시 덕계동 495-8,031-822-8700
235,양주옥정DT,경기 양주시 고읍동 119,031-838-3900
236,양주휴게소DT,경기 양주시 장흥면 삼하리 250-16,031-8083-8000
237,양평SK DT,서울 영등포구 양평동3가 80-2,02-6748-6500
238,어린이대공원점,서울 광진구 화양동 212,02-6212-6500
239,여수 학동 DT점,전남 여수시 학동 82-3,061-922-9200
240,여수미평 DT,전남 여수시 미평동 590-2,070-7673-2675
241,여의도,서울 영등포구 여의도동 23,02-6671-6500
242,여주DT,경기 여주시 교동 101,031-8051-2300
243,연세대점,서울 서대문구 창천동 33-12,02-6010-5800
244,연수 GS DT점,인천 연수구 연수동 597,032-244-5600
